gene,GH,AN,MH,US,sum,max_PBE,max_PBE_pop
Zm00001d008175,1,1,1,1,4,1.52226221886221,MH
Zm00001d008176,1,1,1,1,4,1.52226221886221,MH
Zm00001d024033,1,1,1,1,4,1.50957895376842,AN
Zm00001d024034,1,1,1,1,4,1.50957895376842,AN
Zm00001d024035,1,1,1,1,4,1.50957895376842,AN
Zm00001d024036,1,1,1,1,4,1.50957895376842,AN
Zm00001d024037,1,1,1,1,4,1.50957895376842,AN
Zm00001d024038,1,1,1,1,4,1.50957895376842,AN
Zm00001d004903,1,1,1,1,4,1.50957895376842,AN
Zm00001d039590,1,1,1,1,4,1.50957895376842,AN
Zm00001d039591,1,1,1,1,4,1.50957895376842,AN
Zm00001d039619,1,1,1,1,4,1.50957895376842,AN
Zm00001d039620,1,1,1,1,4,1.50957895376842,AN
Zm00001d039621,1,1,1,1,4,1.50957895376842,AN
Zm00001d014329,1,1,1,1,4,1.50957895376842,AN
Zm00001d014330,1,1,1,1,4,1.50957895376842,AN
Zm00001d014732,1,1,1,1,4,1.50957895376842,AN
Zm00001d014733,1,1,1,1,4,1.50957895376842,AN
Zm00001d016736,1,1,1,1,4,1.50957895376842,AN
Zm00001d016737,1,1,1,1,4,1.50957895376842,AN
Zm00001d016738,1,1,1,1,4,1.50957895376842,AN
Zm00001d020571,1,1,1,1,4,1.50957895376842,AN
Zm00001d020572,1,1,1,1,4,1.50957895376842,AN
Zm00001d027302,1,1,1,1,4,1.49935287921439,AN
Zm00001d027303,1,1,1,1,4,1.49935287921439,AN
Zm00001d029419,1,1,1,1,4,1.49935287921439,AN
Zm00001d053211,1,1,1,1,4,1.49935287921439,AN
Zm00001d013069,1,1,1,1,4,1.49935287921439,AN
Zm00001d013070,1,1,1,1,4,1.49935287921439,AN
Zm00001d014361,1,1,1,1,4,1.49935287921439,AN
Zm00001d046096,1,1,1,1,4,1.49935287921439,AN
Zm00001d033552,1,1,1,1,4,1.49009342869374,US
Zm00001d033553,1,1,1,1,4,1.49009342869374,US
Zm00001d024210,1,1,1,1,4,1.49009342869374,US
Zm00001d039403,1,1,1,1,4,1.49009342869374,US
Zm00001d039404,1,1,1,1,4,1.49009342869374,US
Zm00001d039426,1,1,1,1,4,1.49009342869374,US
Zm00001d039427,1,1,1,1,4,1.49009342869374,US
Zm00001d048655,1,1,1,1,4,1.49009342869374,US
Zm00001d048681,1,1,1,1,4,1.49009342869374,US
Zm00001d048682,1,1,1,1,4,1.49009342869374,US
Zm00001d048683,1,1,1,1,4,1.49009342869374,US
Zm00001d050754,1,1,1,1,4,1.49009342869374,US
Zm00001d013094,1,1,1,1,4,1.49009342869374,US
Zm00001d015225,1,1,1,1,4,1.49009342869374,US
Zm00001d015226,1,1,1,1,4,1.49009342869374,US
Zm00001d015227,1,1,1,1,4,1.49009342869374,US
Zm00001d015228,1,1,1,1,4,1.49009342869374,US
Zm00001d028667,1,1,1,1,4,1.48927239535518,AN
Zm00001d033167,1,1,1,1,4,1.48927239535518,AN
Zm00001d033168,1,1,1,1,4,1.48927239535518,AN
Zm00001d025412,1,1,1,1,4,1.48927239535518,AN
Zm00001d040611,1,1,1,1,4,1.48927239535518,AN
Zm00001d048893,1,1,1,1,4,1.48927239535518,AN
Zm00001d049709,1,1,1,1,4,1.48927239535518,AN
Zm00001d049712,1,1,1,1,4,1.48927239535518,AN
Zm00001d051472,1,1,1,1,4,1.48927239535518,AN
Zm00001d016791,1,1,1,1,4,1.48927239535518,AN
Zm00001d016792,1,1,1,1,4,1.48927239535518,AN
Zm00001d018798,1,1,1,1,4,1.48927239535518,AN
Zm00001d008356,1,1,1,1,4,1.48927239535518,AN
Zm00001d028924,1,1,1,1,4,1.48340661155694,GH
Zm00001d028925,1,1,1,1,4,1.48340661155694,GH
Zm00001d029376,1,1,1,1,4,1.48340661155694,GH
Zm00001d029377,1,1,1,1,4,1.48340661155694,GH
Zm00001d030173,1,1,1,1,4,1.48340661155694,GH
Zm00001d030739,1,1,1,1,4,1.48340661155694,GH
Zm00001d030821,1,1,1,1,4,1.48340661155694,GH
Zm00001d032913,1,1,1,1,4,1.48340661155694,GH
Zm00001d032916,1,1,1,1,4,1.48340661155694,GH
Zm00001d032917,1,1,1,1,4,1.48340661155694,GH
Zm00001d032918,1,1,1,1,4,1.48340661155694,GH
Zm00001d032919,1,1,1,1,4,1.48340661155694,GH
Zm00001d034103,1,1,1,1,4,1.48340661155694,GH
Zm00001d034343,1,1,1,1,4,1.48340661155694,GH
Zm00001d034344,1,1,1,1,4,1.48340661155694,GH
Zm00001d026516,1,1,1,1,4,1.48340661155694,GH
Zm00001d026517,1,1,1,1,4,1.48340661155694,GH
Zm00001d003613,1,1,1,1,4,1.48340661155694,GH
Zm00001d007977,1,1,1,1,4,1.48340661155694,GH
Zm00001d007978,1,1,1,1,4,1.48340661155694,GH
Zm00001d040504,1,1,1,1,4,1.48340661155694,GH
Zm00001d040694,1,1,1,1,4,1.48340661155694,GH
Zm00001d040695,1,1,1,1,4,1.48340661155694,GH
Zm00001d038863,1,1,1,1,4,1.48340661155694,GH
Zm00001d038864,1,1,1,1,4,1.48340661155694,GH
Zm00001d008563,1,1,1,1,4,1.48340661155694,GH
Zm00001d008564,1,1,1,1,4,1.48340661155694,GH
Zm00001d012767,1,1,1,1,4,1.48340661155694,GH
Zm00001d012768,1,1,1,1,4,1.48340661155694,GH
Zm00001d012769,1,1,1,1,4,1.48340661155694,GH
Zm00001d048110,1,1,1,1,4,1.48340661155694,GH
Zm00001d027768,1,1,1,1,4,1.47737071622216,US
Zm00001d006204,1,1,1,1,4,1.47737071622216,US
Zm00001d009373,1,1,1,1,4,1.47737071622216,US
Zm00001d009520,1,1,1,1,4,1.45384055909815,AN
Zm00001d009521,1,1,1,1,4,1.45384055909815,AN
Zm00001d009522,1,1,1,1,4,1.45384055909815,AN
Zm00001d028946,1,1,1,1,4,1.45172385110875,AN
